Gemeindenamen;Kanton;Jahr;Art der Entstehung
Wil (SG);SG;2013;Vereinigung von Bronschhofen und Wil (SG)
Bettmeralp;VS;2014;Vereinigung von Betten und Martisberg
Buchegg;SO;2014;Vereinigung von Aetigkofen, Aetingen, Bibern (SO), Brügglen, Gossliwil, Hessigkofen, Küttigkofen, Kyburg-Buchegg, Mühledorf (SO) und Tscheppach
Ilanz/Glion;GR;2014;Vereinigung von Castrisch, Ilanz, Ladir, Luven, Pitasch, Riein, Ruschein, Schnaus, Sevgein, Duvin, Pigniu, Rueun und Siat
Plateau de Diesse;BE;2014;Fusion de Diesse, Lamboing et Prêles
Sauge;BE;2014;Fusion de Plagne et Vauffelin
Schinznach;AG;2014;Vereinigung von Oberflachs und Schinznach-Dorf
Stocken-Höfen;BE;2014;Vereinigung von Niederstocken, Oberstocken und Höfen
Val-de-Charmey;FR;2014;Fusion de Cerniat (FR) et Charmey
Wiesendangen;ZH;2014;Vereinigung von Bertschikon und Wiesendangen
Albula/Alvra;GR;2015;Vereinigung von Alvaschein, Mon, Stierva, Tiefencastel, Alvaneu, Brienz/Brinzauls und Surava
Bauma;ZH;2015;Vereinigung von Sternenberg und Bauma
Calanca;GR;2015;Vereinigung von Arvigo, Braggio, Cauco und Selma
Domleschg;GR;2015;Vereinigung von Almens, Paspels, Pratval, Rodels und Tomils
Péry-La Heutte;BE;2015;Fusion de La Heutte et Péry
Petit-Val;BE;2015;Fusion de Châtelat, Monible, Sornetan et Souboz
Valbirse;BE;2015;Fusion de Bévilard, Malleray et Pontenet
Belmont-Broye;FR;2016;Fusion de Domdidier, Dompierre (FR), Léchelles et Russy
Gibloux ;FR;2016;Fusion de Corpataux-Magnedens, Farvagny, Rossens (FR), Le Glèbe et Vuisternens-en-Ogoz
Illnau-Effretikon;ZH;2016;Vereinigung von Illnau-Effretikon und Kyburg
Jorat-Mézières;VD;2016;Fusion de Carrouge (VD), Ferlens (VD) et Mézières (VD)
Mont-Vully;FR;2016;Fusion de Bas-Vully et Haut-Vully
Obersaxen Mundaun;GR;2016;Vereinigung von Obersaxen und Mundaun
Surses;GR;2016;Vereinigung von Bivio, Cunter, Marmorera, Mulegns, Riom-Parsonz, Salouf, Savognin, Sur und Tinizong-Rona
Cheyres-Châbles;FR;2017;Fusion de Châbles et Cheyres
Crans-Montana;VS;2017;Fusion de Chermignon, Mollens (VS), Montana et Randogne
Estavayer;FR;2017;Fusion de Bussy (FR), Estavayer-le-Lac, Morens (FR), Murist, Rueyres-les-Prés, Vuissens et Vernay
Goms;VS;2017;Vereinigung von Blitzingen, Niederwald, Grafschaft, Münster-Geschinen und Reckingen-Gluringen
Riviera;TI;2017;Fusione di Cresciano, Iragna, Lodrino e Osogna
Bergün Filisur;GR;2018;Vereinigung von Bergün/Bravuogn und Filisur
Elgg;ZH;2018;Vereinigung von Hofstetten (ZH) und Elgg
Horgen;ZH;2018;Vereinigung von Hirzel und Horgen
La Grande-Béroche;NE;2018;Fusion de Bevaix, Fresens, Gorgier, Montalchez, Saint-Aubin-Sauges et Vaumarcus
